"","year","total","hisp","nhw","b"
"1",2004,293045739,39544163,197648153,37395645
"2",2005,295753151,40888814,198073955,37813066
"3",2006,298593212,42280808,198549475,38260797
"4",2007,301579895,43697553,199109472,38741771
"5",2008,304374846,45092550,199529117,39204596
"6",2009,307006550,46459808,199851240,39641060
"7",2010,309321666,48400971,197388592,40355385
"8",2011,311556874,49453075,197486399,40783547
"9",2012,313830990,50457512,197639572,41225339
"10",2013,315993715,51455788,197690405,41651863
"11",2014,318301008,52486830,197799592,42090120
"12",2015,320635163,53584829,197837000,42532491
"13",2016,322941311,54712003,197845666,42970183
"14",2017,324985539,55767821,197748159,43374142
"15",2018,326687501,56768549,197535202,43732024
"16",2019,328239523,57644639,197309822,44075086
"17",2020,331501080,58743019,197712124,44861705
"18",2021,331893745,59444723,196833431,45060857
